id,dateTime,mag,latitude,longitude,place
88,2007/01/06 05:47:16,2.4,39.11 N,127.98 E,북한 강원 원산 동쪽 48km 해역
89,2007/01/19 09:06:23,2.0,37.69 N,128.57 E,강원 평창군 북북동쪽 39km 지역
90,2007/01/20 20:56:53,4.8,37.68 N,128.59 E,강원 평창군 북북동쪽 39km 지역
91,2007/01/24 16:31:56,2.4,38.62 N,125.59 E,북한 황해북도 송림 남남서쪽 13km 지역
92,2007/02/06 00:35:03,2.2,35.13 N,129.41 E,부산 기장군 남동쪽 21km 해역
93,2007/03/10 18:18:41,2.0,37.21 N,128.85 E,강원 정선군 남동쪽 25km 지역
94,2007/03/15 05:30:12,2.9,36.18 N,127.97 E,충북 영동군 동쪽 17km 지역
95,2007/03/28 02:47:15,2.8,38.64 N,125.6 E,북한 황해북도 송림 남남서쪽 11km 해역
96,2007/04/01 22:16:04,2.3,38.58 N,125.63 E,북한 황해북도 사리원 북서쪽 14km 지역
97,2007/04/25 08:36:40,2.0,36.94 N,126.53 E,충남 당진군 서북서쪽 11km 지역
98,2007/05/03 12:24:07,2.2,36.13 N,127.85 E,충북 영동군 남동쪽 7km 지역
99,2007/05/03 18:24:01,2.1,36.6 N,127.83 E,경북 상주시 북서쪽 36km 지역
100,2007/05/11 05:51:51,2.1,35.55 N,129.91 E,울산 동구 동쪽 45km 해역
101,2007/05/13 16:22:47,2.2,35.92 N,128.01 E,경북 김천시 남남서쪽 25km 지역
102,2007/05/16 04:56:08,2.5,35.72 N,129.22 E,경북 경주시 남쪽 13km 지역
103,2007/05/19 07:53:25,2.4,36.57 N,129 E,경북 청송군 북북서쪽 16km 지역
104,2007/05/26 19:59:26,2.5,36.1 N,125.05 E,충남 태안군 서격렬비열도 남서쪽 70km 해역
105,2007/05/28 00:51:58,2.1,35.23 N,128.57 E,경남 마산시 북쪽 4km 지역
106,2007/06/26 00:01:23,2.2,35.61 N,130.15 E,울산 동구 동쪽 67km 해역
107,2007/07/08 19:28:31,2.2,37.37 N,129.66 E,강원 삼척시 동남동쪽 약 44km 해역
108,2007/07/19 21:01:12,2.2,37.08 N,129.01 E,강원 태백시 남남동쪽 9km 지역
109,2007/07/22 13:49:27,2.6,36.88 N,126.66 E,충남 당진군 동남동쪽 약 3km 지역
110,2007/07/27 01:37:08,2.1,39.16 N,126.65 E,북한 평안남도 양덕 남남동쪽 6km 지역
111,2007/08/07 18:39:49,2.4,37.23 N,128.8 E,강원 정선군 남동쪽 20km 지역
112,2007/08/12 04:52:31,2.1,36.05 N,127.74 E,충북 영동군 남남서쪽 약 14km 지역
113,2007/08/18 15:09:35,2.5,35.99 N,125.78 E,전북 군산시 어청도 남서쪽 23km 해역
114,2007/08/30 16:12:57,2.9,38.69 N,125.64 E,북한 황해북도 송림 남쪽 약 5km 지역
115,2007/09/12 06:50:59,2.7,36.46 N,129.47 E,경북 영덕군 동북동쪽 약 11km 해역
116,2007/09/17 01:16:31,3.0,36.45 N,129.69 E,경북 영덕군 동쪽 약 29km 해역
117,2007/09/24 00:24:08,2.6,36.45 N,129.61 E,경북 영덕군 동쪽 22km 해역
118,2007/10/01 01:02:44,2.2,36.44 N,129.54 E,경북 영덕군 북동쪽 약 16km 해역
119,2007/10/04 23:56:07,2.9,36.43 N,129.55 E,경북 영덕군 동쪽 약 16km 해역
120,2007/10/06 09:08:08,2.5,35.59 N,125.96 E,전남 영광군 북서쪽 61km 해역
121,2007/10/08 22:36:54,2.2,38.9 N,125.76 E,북한 평양 남쪽 13km 지역
122,2007/10/13 04:13:35,2.1,36.44 N,129.63 E,경북 영덕군 동쪽 24km 해역
123,2007/10/16 14:59:03,2.9,37.45 N,128.97 E,강원 동해시 서남서쪽 15km 지역
124,2007/10/17 20:06:26,2.1,36.43 N,129.57 E,경북 영덕군 동쪽 18km 해역
125,2007/10/29 02:32:01,2.5,36.62 N,128.42 E,경북 예천군 남서쪽 5km 지역
126,2007/11/19 05:51:22,2.1,34.78 N,126.48 E,전남 영암군 서쪽 20km 지역
127,2007/12/16 00:04:35,2.2,35.62 N,127.8 E,경남 함양군 북북동쪽 13km 지역
128,2007/12/22 09:54:22,2.6,38.63 N,125.5 E,북한 황해남도 안악군 북쪽 14km 지역
129,2007/12/28 04:03:22,2.7,34.98 N,129.64 E,부산 해운대구 동남동쪽 48km 해역
130,2008/01/01 06:33:38,3.2,40.41 N,127.25 E,북한 함경남도 장진 북북동쪽 3km 지역
131,2008/01/10 22:51:55,2.2,35.09 N,125.06 E,전남 신안군 흑산면 북서쪽 62km 해역
132,2008/01/14 18:03:14,2.2,36.19 N,127.54 E,충남 금산군 북북동쪽 10km 지역
133,2008/01/16 19:58:00,3.9,35.65 N,125.37 E,전북 군산시 어청도 남서쪽 75km 해역
134,2008/02/05 10:06:12,2.3,38.41 N,125.9 E,북한 황해북도 사리원 남동쪽 16km 지역
135,2008/02/23 18:19:39,2.2,35.82 N,129.33 E,경북 경주시 동쪽 11km 지역
136,2008/02/26 09:10:58,2.6,37.95 N,124.85 E,인천 백령도 동쪽 15km 해역
137,2008/02/26 23:22:48,2.5,35.97 N,126.56 E,전북 군산시 서쪽 14km 해역
138,2008/02/29 05:37:52,2.4,33.57 N,126.54 E,제주 제주시 북쪽 8km 해역
139,2008/02/29 15:53:00,3.2,38.75 N,126.23 E,북한 황해북도 신계 북서쪽 38km 지역
140,2008/03/08 18:05:00,2.0,35.66 N,128.8 E,경북 청도군 동북동쪽 6km 지역
141,2008/03/09 18:07:10,2.2,38.75 N,125.84 E,북한 황해북도 송림 동쪽 18km 지역
142,2008/03/15 01:38:01,2.0,38.11 N,127.1 E,경기 연천군 북동쪽 3km 지역
